Carrier,Type,Slugs - Requires no connection,Slugs - Requires connection
T-cat,Nice to connect,t-cat,t-cat-api
GLS Hungary,Nice to connect,gls-hun,gls-hun-api
Vesyl,Nice to connect,vesyl,vesyl-api
"Celeritas Transporte, S.L",Must connect,,celeritas-ftp
Concise,Must connect,,"concise-api,concise-webhook"
DB Schenker Iceland,Must connect,,dbschenker-iceland-ftp
Deliverr,Must connect,,deliverr-sftp
DHL Global Forwarding,Must connect,,dhl-global-forwarding-api
First Logistics,Must connect,,first-logistics-api
G.I.G,Must connect,,gwlogis-api
LBC Express,Must connect,,"lbcexpress-api,lbcexpress-ftp"
Magyar Posta,Must connect,,magyar-posta-api
Rixon Logistics,Must connect,,rixonhk-api
99minutos,Must connect,,99minutos
Ader,Must connect,,aderonline
Aras Cargo,Must connect,,araskargo
Barq,Must connect,,barqexp
B&H Worldwide,Must connect,,bh-worldwide
Bomi Group,Must connect,,bomi
CEVA Package,Must connect,,ceva-tracking
Chazki,Must connect,,chazki
Chile Express,Must connect,,chilexpress-webhook
Courant Plus,Must connect,,courant-plus-api
DAO365,Must connect,,dao365
DHL (Reference number),Must connect,,dhl-reference-api
DHL supply chain India,Must connect,,dhl-supplychain-in
Direct Freight Express,Must connect,,directfreight-au-ref
DKSH,Must connect,,dksh
DNJ Express,Must connect,,dnj-express
DSV Futurewave,Must connect,,dsv-reference
DX (B2B),Must connect,,dx-b2b-connum
Elite Express,Must connect,,elite-co
FAN COURIER EXPRESS,Must connect,,fan
Faxe Cargo,Must connect,,faxecargo
Fetchr,Must connect,,"fetchr,fetchr-webhook"
Glovo,Must connect,,glovo
Gebrüder Weiss,Must connect,,gw-world
Home Logistics,Must connect,,homelogistics
HSM Global,Must connect,,hsm-global
Ilyang logistics,Must connect,,ilyanglogis
Inexpost,Must connect,,inexpost
Javit,Must connect,,javit
京东物流,Must connect,,jd-express
Livrapide,Must connect,,livrapide
Loggi,Must connect,,loggi
Logysto,Must connect,,logysto
Mail Boxes Etc.,Must connect,,mail-box-etc
Marken,Must connect,,marken
Groupe Mazet,Must connect,,mazet
MNX,Must connect,,mnx
Mondial Relay Spain(Punto Pack),Must connect,,mondialrelay-es
Mondial Relay France,Must connect,,mondialrelay-fr
Moova,Must connect,,moova-webhook
Naqel Express,Must connect,,naqel-express
NTL logistics,Must connect,,ntl
Passport Shipping,Must connect,,passportshipping
Patheon Logistics,Must connect,,patheon
PolarSpeed Inc,Must connect,,polarspeed
Professional Parcel Logistics,Must connect,,ppl
Pro Carrier,Must connect,,procarrier
Purolator International,Must connect,,purolator-international
Red je Pakketje,Must connect,,redjepakketje
Relais Colis,Must connect,,relaiscolis
SHIPA,Must connect,,shipa
Shippie,Must connect,,shippie
"Shippify, Inc",Must connect,,shippify
Teliway SIC Express,Must connect,,sic-teliway
Spectran,Must connect,,spectran
Speedy,Must connect,,speedy
Thijs Logistiek,Must connect,,thijs-nl
Tipsa Reference,Must connect,,tipsa-ref
TNT France Reference,Must connect,,tnt-fr-reference
Tourline Express,Must connect,,tourline-reference
Urgent Cargus,Must connect,,urgent-cargus
VOX SOLUCION EMPRESARIAL SRL,Must connect,,vox
World Courier,Must connect,,worldcourier
WSP Express,Must connect,,wspexpress
Xpedigo,Must connect,,xpedigo
Zeek2Door,Must connect,,"zeek,sfplus-webhook"
Activos24,Must connect,,activos24-api
AFL LOGISTICS,Must connect,,afllog-ftp
Agediss,Must connect,,agediss-sftp
Airmee,Must connect,,airmee-webhook
Argents Express Group,Must connect,,argents-webhook
BioCair,Must connect,,biocair-ftp
Budbee,Must connect,,budbee-webhook
City Express,Must connect,,city56-webhook
ClickLink,Must connect,,clicklink-sftp
Corporate Couriers,Must connect,,corporatecouriers-webhook
CryoPDP,Must connect,,cryopdp-ftp
The Custom Companies,Must connect,,customco-api
DB Schenker,Must connect,,dbschenker-api
Designer Transport,Must connect,,designertransport-webhook
DoorDash,Must connect,,doordash-webhook
DPD Switzerland,Must connect,,dpd-ch-sftp
DPD Slovakia,Must connect,,dpd-sk-sftp
East West Courier Pte Ltd,Must connect,,eastwestcourier-ftp
Eurodifarm,Must connect,,edf-ftp
Estes Forwarding Worldwide,Must connect,,efwnow-api
Europacket+,Must connect,,europaket-api
Exelot Ltd.,Must connect,,exelot-ftp
Expeditors API Reference,Must connect,,expeditors-api-ref
fairsenden,Must connect,,fairsenden-api
FitzMark,Must connect,,fitzmark-api
FragilePAK,Must connect,,fragilepak-sftp
GAC,Must connect,,gac-webhook
GEODIS - Distribution & Express,Must connect,,"geodis-api,geodis-sftp"
Gojek,Must connect,,gojek-webhook
Grab,Must connect,,grab-webhook
Hermes UK,Must connect,,hermes-uk-sftp
Inntralog GmbH,Must connect,,inntralog-sftp
Instabox,Must connect,,instabox-webhook
Integra2,Must connect,,integra2-ftp
InTime,Must connect,,intime-ftp
Ivoy,Must connect,,ivoy-webhook
Kerry Logistics,Must connect,,kerry-express-th-webhook
LCT do Brasil,Must connect,,lctbr-api
Locus,Must connect,,locus-webhook
T&W Delivery,Must connect,,loginext-webhook
Mensajeros Urbanos,Must connect,,mensajerosurbanos-api
Naeko Logistics,Must connect,,naeko-ftp
Novofarma,Must connect,,novofarma-webhook
Sequoialog,Must connect,,nowlog-api
Omni Returns,Must connect,,omnirps-webhook
Paack,Must connect,,paack-webhook
Pandago,Must connect,,pandago-api
ParcelPal,Must connect,,parcelpal-webhook
USPS Flats (Pitney Bowes),Must connect,,pb-uspsflats-ftp
Pgeon,Must connect,,pgeon-api
Product Care Services Limited,Must connect,,productcaregroup-sftp
Quickstat Courier LLC,Must connect,,qintl-api
Routific,Must connect,,routific-webhook
SerVIP,Must connect,,servip-webhook
SimpleTire,Must connect,,simpletire-webhook
solistica,Must connect,,solistica-api
Spreetail,Must connect,,spreetail-api
SortHub,Must connect,,thenile-webhook
Tonami,Must connect,,tonami-ftp
Uber,Must connect,,uber-webhook
USPS Informed Visibility,Must connect,,"usps-iv-api,usps-webhook"
Value Logistics,Must connect,,value-webhook
Ximex Delivery Express,Must connect,,xde-webhook
D Express,Must connect,,dexpress-webhook
Best Transport,Must connect,,besttransport-sftp
OM LOGISTICS LTD,Must connect,,omlogistics-api
iMile,Must connect,,imile-api
Kiitäjät,Must connect,,logisystems-sftp
Ransa,Must connect,,ransa-webhook
Tamer Logistics,Must connect,,tamergroup-webhook
AIT,Must connect,,"aitworldwide-api,aitworldwide-sftp"
Teleport,Must connect,,teleport-webhook
Snt Global Etrax,Must connect,,sntglobal-api
網家速配股份有限公司,Must connect,,pchome-api
DHL GLOBAL FORWARDING PANAMÁ,Must connect,,dhl-pa-api
DHL Global Forwarding Guatemala,Must connect,,dhl-gt-api
Kerry Express TaiWan,Must connect,,kerry-express-tw-api
mySendle,Must connect,,mysendle-api
Chienventure,Must connect,,chienventure-webhook
Papa,Must connect,,papa-webhook
IB Venture,Must connect,,ibventure-webhook
Secretlab,Must connect,,secretlab-webhook
Mothership,Must connect,,mothership-api
Starlinks Global,Must connect,,starlinks-api
Zuellig Pharma Korea,Must connect,,zuelligpharma-sftp
"WOO YOUNG LOGISTICS CO.,LTD.",Must connect,,wooyoung-logistics-sftp
PHSE,Must connect,,phse-api
J&T Express Singapore,Must connect,,jtexpress-sg-api
Roche Internal Courier,Must connect,,roche-internal-sftp
DHL IE,Must connect,,dhl-ie-sftp
ANC / Fleets Flyers PTY LTD,Must connect,,ancdelivers-sftp
Veho,Must connect,,veho-webhook
Arrow,Must connect,,arrow-api
Team Global Express,Must connect,,team-global-express-webhook
C Chez Vous,Must connect,,cchezvous-sftp
Rendr,Must connect,,rendr-webhook
Kiwi Express Couriers,Must connect,,kiwi-express-webhook
Zoom2U,Must connect,,zoom2u-webhook
Jumppoint,Must connect,,jumppoint-api
trans-o-flex Express GmbH & Co. KGaA,Must connect,,trans-o-flex-sftp
Fliway,Must connect,,"fliway-api,fliway-sftp"
Stop Start Transport Ltd,Must connect,,stop-start-api
Fukuyama,Must connect,,fukuyama-sftp
SIGNIA LOGISTICS S.A.C.,Must connect,,signia-ftp
SIGNIA LOGISTICS S.A.C.,Must connect,,signialogistics-sftp
Borderless 360,Must connect,,borderless360-webhook
Mobile Tyre Shop,Must connect,,mobiletyreshop-webhook
DashLink,Must connect,,dashlink-webhook
Bleckmann,Must connect,,bleckmann-sftp
M24 Logistics,Must connect,,m24logistics-webhook
XPO Last Mile France,Must connect,,xpo-fr-api
Boxcheck,Must connect,,boxcheck-api
5Stringsolutions,Must connect,,shipstoresoftware-webhook
Cargo Partner,Must connect,,cargopartner-api
On Way,Must connect,,onway-webhook
Flash Express PH,Must connect,,flashexpress-ph-api
Geodis MyParcel,Must connect,,geodis-usa-api
Skelton,Must connect,,skelton-sftp
chronodiali,Must connect,,chronodiali-webhook
Alpha Freight,Must connect,,alphafreight-webhook
Ekol Lojistik,Must connect,,ekol-api
Courier Network Inc,Must connect,,cnwglobal-api
"Returnmates, Inc.",Must connect,,returnmates-webhook
Pandago,Must connect,,pandago-ph-api
TASCO BERHAD,Must connect,,tasco-my-webhook
DSV,Must connect,,dsv-za-sftp
Porter Express,Must connect,,porterex-webhook
Fastway Australia,Must connect,,aramex-au-api
UNITED CALIFORNIA FREIGHT SOLUTIONS,Must connect,,ucfs-api
Toshi,Must connect,,toshi-webhook
BTX GLOBAL LOGISTICS,Must connect,,btxglobal-ftp
NTI Logistics,Must connect,,ntilogistics-ftp
Sassy,Must connect,,sassy-api
P2P Delivery Ltd,Must connect,,p2p-delivery-api
Parcel Delivery Network,Must connect,,portless-api
Parcel Delivery Network,Must connect,,pdn-api
e-courier (MDS),Must connect,,e-courier-webhook
HTDK (Shanghai),Must connect,,htdkgroup-webhook
Parca Logistics,Must connect,,parcalogistics-api
RXO,Must connect,,rxo-api
DSV UAE,Must connect,,dsv-are-webhook
Lalamove Plus,Must connect,,lalamove-plus-api
